Model,10 Instructions accuracy,50 Instructions accuracy,100 Instructions accuracy,250 Instructions accuracy,500 Instructions accuracy,10 Instructions std.dev,50 Instructions std.dev,100 Instructions std.dev,250 Instructions std.dev,500 Instructions std.dev, Organization
claude-3.5-haiku,98.0%,78.0%,43.4%,16.6%,8.5%,4.5%,5.1%,6.6%,1.8%,0.8%,Anthropic
claude-3.7-sonnet,100.0%,99.6%,94.8%,72.9%,52.7%,0.0%,0.9%,3.3%,4.9%,8.4%,Anthropic
claude-opus-4,100.0%,100.0%,94.6%,67.9%,44.6%,0.0%,0.0%,4.7%,3.9%,14.0%,Anthropic
claude-opus-4 (r),92.0%,99.6%,81.8%,81.5%,52.1%,17.9%,0.9%,31.8%,8.2%,7.6%,Anthropic
claude-sonnet-4,100.0%,98.0%,94.4%,77.2%,42.9%,0.0%,1.4%,3.0%,12.6%,10.2%,Anthropic
claude-sonnet-4 (r),100.0%,100.0%,94.8%,80.0%,39.9%,0.0%,0.0%,3.6%,5.0%,6.7%,Anthropic
deepseek-r1-0528,98.0%,94.8%,86.8%,49.1%,30.9%,4.5%,2.3%,5.6%,6.5%,3.5%,DeepSeek
gemini-2.5-flash-preview,100.0%,96.0%,82.0%,50.7%,34.2%,0.0%,1.4%,4.5%,7.8%,4.2%,Google
gemini-2.5-pro-preview,100.0%,99.6%,98.4%,84.8%,68.9%,0.0%,0.9%,1.3%,7.2%,2.6%,Google
llama-4-maverick,100.0%,76.4%,50.4%,34.8%,27.7%,0.0%,12.7%,27.3%,36.6%,40.4%,Meta
llama-4-scout,100.0%,54.4%,27.2%,9.3%,6.7%,0.0%,9.5%,4.0%,1.4%,0.8%,Meta
gpt-4.1,98.0%,98.8%,95.4%,74.0%,48.9%,4.5%,1.8%,2.7%,4.3%,5.0%,OpenAI
gpt-4.1-mini,100.0%,93.2%,80.0%,44.5%,27.2%,0.0%,4.1%,4.2%,2.6%,1.7%,OpenAI
gpt-4.1-nano,94.0%,72.8%,51.6%,25.7%,16.2%,5.5%,5.0%,4.5%,4.5%,1.8%,OpenAI
gpt-4o,94.0%,82.8%,49.0%,22.2%,15.4%,8.9%,6.3%,4.8%,2.0%,1.8%,OpenAI
gpt-4o-mini,94.0%,65.6%,41.8%,18.3%,10.4%,8.9%,3.8%,3.6%,1.8%,0.7%,OpenAI
gpt-4.5-preview,100.0%,93.6%,90.8%,65.0%,43.0%,0.0%,1.7%,1.8%,2.7%,2.1%,OpenAI
o3 (medium),98.0%,99.2%,98.4%,91.8%,51.6%,4.5%,1.1%,1.5%,8.6%,8.0%,Anthropic
o3 (high),100.0%,99.6%,98.2%,97.8%,62.8%,0.0%,0.9%,1.5%,1.5%,10.6%,Anthropic
o4-mini (medium),100.0%,99.6%,97.8%,86.8%,34.4%,0.0%,0.9%,1.8%,9.7%,2.6%,Anthropic
qwen3-235b-a22b,100.0%,92.8%,77.6%,36.4%,20.9%,0.0%,5.2%,6.5%,5.5%,1.4%,Qwen
grok-3-beta,100.0%,100.0%,98.8%,86.2%,61.9%,0.0%,0.0%,1.1%,4.6%,2.7%,Grok
grok-3-mini-beta,100.0%,99.2%,92.8%,56.6%,36.4%,0.0%,1.1%,3.3%,1.9%,3.0%,Grok
