Model,Low Density Accuracy (%),Low Density Std Dev (%),Medium Density Accuracy (%),Medium Density Std Dev (%),High Density Accuracy (%),High Density Std Dev (%),Provider
claude-3.5-haiku,84.8,5.4,17.2,0.7,8.7,1.3,Anthropic
claude-3.7-sonnet,98.8,1.1,75.8,3.9,46.1,5.5,Anthropic
claude-opus-4,100.0,0.0,63.1,4.4,43.6,6.7,Anthropic
claude-sonnet-4,97.6,2.2,78.1,13.8,39.8,5.9,Anthropic
deepseek-r1,97.6,2.6,53.8,10.3,31.4,6.7,DeepSeek
gemini-2.5-flash,96.8,2.3,59.8,5.7,38.3,4.3,Google
gemini-2.5-pro,100.0,0.0,91.7,2.5,80.8,15.9,Google
gpt-4.1,99.6,0.9,73.2,4.6,47.2,3.3,OpenAI
gpt-4.1-mini,93.2,5.4,42.7,4.3,27.2,3.3,OpenAI
gpt-4.1-nano,75.6,3.3,27.8,6.4,17.9,2.3,OpenAI
gpt-4.5,94.4,2.6,65.8,3.7,39.7,2.7,OpenAI
gpt-4o,84.4,5.2,19.8,3.3,13.6,2.0,OpenAI
gpt-4o-mini,66.0,7.1,18.9,1.1,11.5,1.8,OpenAI
grok-3,99.2,1.1,85.8,3.2,59.5,5.3,xAI
grok-3-mini,98.8,1.1,63.2,5.2,37.3,5.6,xAI
llama-4-maverick,85.6,4.6,51.7,44.3,46.1,49.0,Meta
llama-4-scout,27.2,30.2,12.0,3.0,7.3,0.9,Meta
o3,98.8,1.8,89.5,9.3,80.4,26.7,OpenAI
o4-mini,99.6,0.9,87.4,7.5,61.8,26.8,OpenAI
qwen3,93.6,6.7,55.0,9.1,26.9,8.9,Alibaba
